feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
inst_mcap_20,volatility,0.014,0.004,0.075,-0.047,0.081,0.53,100,"{""2014"": 0.06, ""2015"": 0.063, ""2016"": -0.015, ""2017"": 0.008, ""2018"": -0.021, ""2019"": -0.009, ""2020"": 0.076, ""2021"": 0.01, ""2022"": -0.005, ""2023"": -0.02, ""2024"": -0.028, ""2025"": -0.002, ""2026"": 0.059}","{""normal"": 0.006, ""weak"": 0.035}",LOW_OBSERVED_OVERLAP,,
inst_mcap_20,turnover_rate,0.027,0.032,0.089,-0.047,0.098,0.58,100,"{""2014"": 0.114, ""2015"": 0.1, ""2016"": 0.012, ""2017"": 0.065, ""2018"": 0.016, ""2019"": 0.025, ""2020"": 0.036, ""2021"": -0.015, ""2022"": 0.006, ""2023"": 0.01, ""2024"": -0.006, ""2025"": -0.05, ""2026"": 0.039}","{""normal"": 0.025, ""weak"": 0.031}",LOW_OBSERVED_OVERLAP,,
inst_z,score,0.036,0.031,0.067,-0.024,0.09,0.64,100,"{""2014"": 0.014, ""2015"": 0.021, ""2016"": 0.039, ""2017"": 0.05, ""2018"": 0.114, ""2019"": 0.067, ""2020"": 0.021, ""2021"": 0.016, ""2022"": -0.021, ""2023"": 0.047, ""2024"": 0.013, ""2025"": 0.051, ""2026"": 0.05}","{""normal"": 0.039, ""weak"": 0.029}",LOW_OBSERVED_OVERLAP,,
inst_z,rev_rank,0.011,0.009,0.059,-0.043,0.059,0.54,100,"{""2014"": 0.011, ""2015"": 0.026, ""2016"": 0.032, ""2017"": 0.021, ""2018"": 0.071, ""2019"": 0.029, ""2020"": -0.01, ""2021"": -0.024, ""2022"": -0.044, ""2023"": 0.016, ""2024"": -0.015, ""2025"": 0.029, ""2026"": 0.01}","{""normal"": 0.008, ""weak"": 0.02}",LOW_OBSERVED_OVERLAP,,-0.0003
inst_z,fp,0.009,0.009,0.077,-0.059,0.076,0.53,100,"{""2014"": 0.043, ""2015"": -0.029, ""2016"": 0.053, ""2017"": -0.048, ""2018"": 0.04, ""2019"": -0.02, ""2020"": -0.029, ""2021"": 0.055, ""2022"": -0.014, ""2023"": 0.034, ""2024"": 0.005, ""2025"": 0.007, ""2026"": 0.061}","{""normal"": 0.029, ""weak"": -0.048}",LOW_OBSERVED_OVERLAP,,0.0007
inst_z,chip,0.162,0.165,0.165,0.117,0.212,0.962,79,"{""2016"": 0.023, ""2017"": 0.194, ""2018"": 0.214, ""2019"": 0.21, ""2020"": 0.139, ""2021"": 0.145, ""2022"": 0.098, ""2023"": 0.159, ""2024"": 0.156, ""2025"": 0.153, ""2026"": 0.189}","{""normal"": 0.175, ""weak"": 0.121}",LOW_OBSERVED_OVERLAP,,0.0211
inst_z,tilt,0.11,0.123,0.129,0.043,0.179,0.84,100,"{""2014"": 0.043, ""2015"": -0.029, ""2016"": 0.062, ""2017"": 0.114, ""2018"": 0.193, ""2019"": 0.171, ""2020"": 0.106, ""2021"": 0.139, ""2022"": 0.07, ""2023"": 0.145, ""2024"": 0.127, ""2025"": 0.128, ""2026"": 0.184}","{""normal"": 0.135, ""weak"": 0.038}",LOW_OBSERVED_OVERLAP,,0.0132
inst_z,size,-0.01,-0.007,0.096,-0.096,0.064,0.52,100,"{""2014"": 0.052, ""2015"": -0.078, ""2016"": 0.186, ""2017"": -0.09, ""2018"": 0.007, ""2019"": -0.056, ""2020"": -0.073, ""2021"": -0.024, ""2022"": 0.003, ""2023"": 0.029, ""2024"": -0.014, ""2025"": -0.021, ""2026"": 0.04}","{""normal"": 0.011, ""weak"": -0.07}",LOW_OBSERVED_OVERLAP,,
inst_z,liquidity,0.001,-0.007,0.079,-0.069,0.077,0.49,100,"{""2014"": 0.108, ""2015"": -0.007, ""2016"": 0.102, ""2017"": -0.025, ""2018"": -0.007, ""2019"": -0.014, ""2020"": -0.03, ""2021"": -0.043, ""2022"": -0.015, ""2023"": 0.015, ""2024"": -0.044, ""2025"": 0.016, ""2026"": -0.043}","{""normal"": 0.005, ""weak"": -0.011}",LOW_OBSERVED_OVERLAP,,
inst_z,volatility,-0.021,-0.018,0.091,-0.09,0.055,0.56,100,"{""2014"": -0.019, ""2015"": 0.043, ""2016"": -0.108, ""2017"": 0.023, ""2018"": -0.076, ""2019"": -0.001, ""2020"": 0.039, ""2021"": -0.048, ""2022"": -0.001, ""2023"": -0.045, ""2024"": -0.081, ""2025"": 0.012, ""2026"": -0.074}","{""normal"": -0.043, ""weak"": 0.042}",LOW_OBSERVED_OVERLAP,,
