feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
inst_turn_5,score,0.056,0.066,0.066,0.032,0.089,0.87,100,"{""2014"": 0.053, ""2015"": 0.042, ""2016"": 0.047, ""2017"": 0.066, ""2018"": 0.092, ""2019"": 0.072, ""2020"": 0.043, ""2021"": 0.068, ""2022"": 0.008, ""2023"": 0.039, ""2024"": 0.069, ""2025"": 0.062, ""2026"": 0.075}","{""normal"": 0.06, ""weak"": 0.045}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,rev_rank,0.036,0.044,0.053,0.006,0.07,0.81,100,"{""2014"": 0.048, ""2015"": 0.036, ""2016"": 0.041, ""2017"": 0.033, ""2018"": 0.065, ""2019"": 0.04, ""2020"": 0.021, ""2021"": 0.049, ""2022"": -0.012, ""2023"": 0.008, ""2024"": 0.043, ""2025"": 0.048, ""2026"": 0.048}","{""normal"": 0.034, ""weak"": 0.04}",LOW_OBSERVED_OVERLAP,,0.0004
inst_turn_5,fp,0.089,0.101,0.108,0.039,0.147,0.85,100,"{""2014"": 0.063, ""2015"": 0.059, ""2016"": 0.058, ""2017"": 0.115, ""2018"": 0.074, ""2019"": 0.101, ""2020"": 0.05, ""2021"": 0.093, ""2022"": 0.07, ""2023"": 0.096, ""2024"": 0.101, ""2025"": 0.104, ""2026"": 0.204}","{""normal"": 0.111, ""weak"": 0.027}",LOW_OBSERVED_OVERLAP,,0.0084
inst_turn_5,chip,0.098,0.102,0.106,0.053,0.148,0.924,79,"{""2016"": -0.062, ""2017"": 0.156, ""2018"": 0.124, ""2019"": 0.128, ""2020"": 0.086, ""2021"": 0.065, ""2022"": 0.057, ""2023"": 0.102, ""2024"": 0.126, ""2025"": 0.068, ""2026"": 0.091}","{""normal"": 0.115, ""weak"": 0.047}",LOW_OBSERVED_OVERLAP,,0.0078
inst_turn_5,tilt,0.111,0.12,0.127,0.059,0.164,0.87,100,"{""2014"": 0.063, ""2015"": 0.059, ""2016"": 0.051, ""2017"": 0.175, ""2018"": 0.133, ""2019"": 0.153, ""2020"": 0.095, ""2021"": 0.094, ""2022"": 0.075, ""2023"": 0.126, ""2024"": 0.149, ""2025"": 0.102, ""2026"": 0.167}","{""normal"": 0.135, ""weak"": 0.04}",LOW_OBSERVED_OVERLAP,,0.0124
inst_turn_5,size,-0.009,-0.018,0.077,-0.068,0.059,0.59,100,"{""2014"": -0.01, ""2015"": 0.009, ""2016"": 0.026, ""2017"": 0.005, ""2018"": -0.013, ""2019"": -0.002, ""2020"": -0.056, ""2021"": 0.005, ""2022"": -0.042, ""2023"": 0.022, ""2024"": -0.02, ""2025"": -0.026, ""2026"": 0.01}","{""normal"": 0.01, ""weak"": -0.065}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,liquidity,0.016,0.009,0.061,-0.04,0.057,0.58,100,"{""2014"": 0.048, ""2015"": 0.02, ""2016"": 0.056, ""2017"": -0.019, ""2018"": 0.03, ""2019"": 0.015, ""2020"": -0.016, ""2021"": 0.036, ""2022"": 0.007, ""2023"": -0.007, ""2024"": 0.006, ""2025"": 0.034, ""2026"": 0.012}","{""normal"": 0.013, ""weak"": 0.024}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,volatility,0.01,-0.006,0.097,-0.06,0.086,0.47,100,"{""2014"": 0.046, ""2015"": 0.033, ""2016"": 0.015, ""2017"": -0.03, ""2018"": 0.031, ""2019"": -0.004, ""2020"": 0.053, ""2021"": 0.016, ""2022"": 0.035, ""2023"": -0.033, ""2024"": -0.012, ""2025"": 0.024, ""2026"": -0.069}","{""normal"": -0.016, ""weak"": 0.085}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,turnover_rate,0.042,0.023,0.127,-0.054,0.131,0.55,100,"{""2014"": 0.095, ""2015"": 0.045, ""2016"": 0.045, ""2017"": 0.003, ""2018"": 0.084, ""2019"": 0.024, ""2020"": 0.049, ""2021"": 0.042, ""2022"": 0.053, ""2023"": -0.034, ""2024"": 0.044, ""2025"": 0.078, ""2026"": 0.005}","{""normal"": 0.01, ""weak"": 0.136}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,score,0.102,0.098,0.106,0.067,0.139,0.94,100,"{""2014"": 0.078, ""2015"": 0.1, ""2016"": 0.076, ""2017"": 0.118, ""2018"": 0.154, ""2019"": 0.112, ""2020"": 0.116, ""2021"": 0.086, ""2022"": 0.036, ""2023"": 0.102, ""2024"": 0.101, ""2025"": 0.118, ""2026"": 0.13}","{""normal"": 0.107, ""weak"": 0.09}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,rev_rank,0.071,0.067,0.079,0.04,0.11,0.89,100,"{""2014"": 0.079, ""2015"": 0.104, ""2016"": 0.071, ""2017"": 0.069, ""2018"": 0.103, ""2019"": 0.064, ""2020"": 0.081, ""2021"": 0.049, ""2022"": 0.006, ""2023"": 0.061, ""2024"": 0.052, ""2025"": 0.09, ""2026"": 0.09}","{""normal"": 0.07, ""weak"": 0.075}",LOW_OBSERVED_OVERLAP,,0.0041
inst_turn_20,fp,0.017,0.018,0.073,-0.05,0.089,0.58,100,"{""2014"": 0.002, ""2015"": -0.027, ""2016"": 0.048, ""2017"": 0.052, ""2018"": 0.062, ""2019"": -0.013, ""2020"": -0.036, ""2021"": 0.033, ""2022"": -0.023, ""2023"": -0.0, ""2024"": 0.048, ""2025"": 0.037, ""2026"": 0.081}","{""normal"": 0.04, ""weak"": -0.046}",LOW_OBSERVED_OVERLAP,,0.0011
inst_turn_20,chip,0.227,0.23,0.227,0.188,0.273,0.975,79,"{""2016"": -0.001, ""2017"": 0.313, ""2018"": 0.245, ""2019"": 0.268, ""2020"": 0.211, ""2021"": 0.172, ""2022"": 0.16, ""2023"": 0.234, ""2024"": 0.266, ""2025"": 0.195, ""2026"": 0.227}","{""normal"": 0.242, ""weak"": 0.177}",LOW_OBSERVED_OVERLAP,,0.0428
inst_turn_20,tilt,0.152,0.189,0.174,0.094,0.234,0.86,100,"{""2014"": 0.002, ""2015"": -0.027, ""2016"": 0.05, ""2017"": 0.26, ""2018"": 0.226, ""2019"": 0.223, ""2020"": 0.162, ""2021"": 0.152, ""2022"": 0.116, ""2023"": 0.188, ""2024"": 0.233, ""2025"": 0.175, ""2026"": 0.218}","{""normal"": 0.18, ""weak"": 0.073}",LOW_OBSERVED_OVERLAP,,0.0227
inst_turn_20,size,0.0,-0.008,0.081,-0.062,0.067,0.47,100,"{""2014"": 0.042, ""2015"": 0.025, ""2016"": 0.124, ""2017"": 0.092, ""2018"": 0.008, ""2019"": -0.027, ""2020"": -0.084, ""2021"": -0.038, ""2022"": -0.029, ""2023"": 0.005, ""2024"": 0.004, ""2025"": -0.055, ""2026"": -0.009}","{""normal"": 0.025, ""weak"": -0.069}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,liquidity,0.047,0.045,0.078,-0.019,0.106,0.65,100,"{""2014"": 0.119, ""2015"": 0.116, ""2016"": 0.124, ""2017"": 0.052, ""2018"": 0.039, ""2019"": 0.044, ""2020"": -0.003, ""2021"": -0.012, ""2022"": 0.02, ""2023"": 0.041, ""2024"": 0.008, ""2025"": 0.045, ""2026"": 0.032}","{""normal"": 0.048, ""weak"": 0.044}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,volatility,0.032,0.032,0.1,-0.056,0.107,0.62,100,"{""2014"": 0.062, ""2015"": 0.114, ""2016"": -0.002, ""2017"": -0.034, ""2018"": 0.019, ""2019"": 0.022, ""2020"": 0.106, ""2021"": 0.012, ""2022"": 0.06, ""2023"": 0.034, ""2024"": -0.034, ""2025"": 0.034, ""2026"": -0.008}","{""normal"": 0.003, ""weak"": 0.116}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,turnover_rate,0.075,0.073,0.14,-0.043,0.185,0.69,100,"{""2014"": 0.106, ""2015"": 0.145, ""2016"": 0.027, ""2017"": -0.001, ""2018"": 0.07, ""2019"": 0.095, ""2020"": 0.128, ""2021"": 0.001, ""2022"": 0.069, ""2023"": 0.076, ""2024"": 0.021, ""2025"": 0.128, ""2026"": 0.063}","{""normal"": 0.047, ""weak"": 0.155}",LOW_OBSERVED_OVERLAP,,
inst_turn_60,score,0.167,0.166,0.167,0.124,0.206,1.0,100,"{""2014"": 0.112, ""2015"": 0.148, ""2016"": 0.096, ""2017"": 0.145, ""2018"": 0.196, ""2019"": 0.191, ""2020"": 0.207, ""2021"": 0.161, ""2022"": 0.161, ""2023"": 0.174, ""2024"": 0.18, ""2025"": 0.189, ""2026"": 0.186}","{""normal"": 0.171, ""weak"": 0.153}",PARTIAL_OVERLAP,,
inst_turn_60,rev_rank,0.113,0.107,0.113,0.075,0.153,1.0,100,"{""2014"": 0.103, ""2015"": 0.142, ""2016"": 0.076, ""2017"": 0.075, ""2018"": 0.123, ""2019"": 0.119, ""2020"": 0.157, ""2021"": 0.093, ""2022"": 0.101, ""2023"": 0.098, ""2024"": 0.099, ""2025"": 0.137, ""2026"": 0.125}","{""normal"": 0.113, ""weak"": 0.112}",PARTIAL_OVERLAP,,0.0112
inst_turn_60,fp,0.102,0.117,0.115,0.049,0.151,0.85,100,"{""2014"": 0.097, ""2015"": 0.083, ""2016"": 0.19, ""2017"": 0.106, ""2018"": 0.118, ""2019"": 0.086, ""2020"": 0.003, ""2021"": 0.104, ""2022"": 0.068, ""2023"": 0.115, ""2024"": 0.132, ""2025"": 0.126, ""2026"": 0.148}","{""normal"": 0.117, ""weak"": 0.06}",PARTIAL_OVERLAP,,0.0115
inst_turn_60,chip,0.324,0.322,0.324,0.291,0.353,1.0,79,"{""2016"": 0.152, ""2017"": 0.367, ""2018"": 0.324, ""2019"": 0.337, ""2020"": 0.287, ""2021"": 0.295, ""2022"": 0.301, ""2023"": 0.345, ""2024"": 0.384, ""2025"": 0.292, ""2026"": 0.322}","{""normal"": 0.334, ""weak"": 0.291}",PARTIAL_OVERLAP,,0.0904
inst_turn_60,tilt,0.265,0.293,0.267,0.209,0.338,0.96,100,"{""2014"": 0.097, ""2015"": 0.083, ""2016"": 0.198, ""2017"": 0.332, ""2018"": 0.312, ""2019"": 0.321, ""2020"": 0.242, ""2021"": 0.282, ""2022"": 0.271, ""2023"": 0.332, ""2024"": 0.365, ""2025"": 0.295, ""2026"": 0.328}","{""normal"": 0.284, ""weak"": 0.212}",PARTIAL_OVERLAP,,0.0726
inst_turn_60,size,0.015,0.0,0.073,-0.048,0.074,0.5,100,"{""2014"": 0.022, ""2015"": 0.028, ""2016"": 0.185, ""2017"": 0.072, ""2018"": -0.006, ""2019"": -0.0, ""2020"": -0.043, ""2021"": -0.013, ""2022"": -0.05, ""2023"": 0.05, ""2024"": 0.045, ""2025"": -0.04, ""2026"": -0.002}","{""normal"": 0.033, ""weak"": -0.036}",PARTIAL_OVERLAP,,
inst_turn_60,liquidity,0.065,0.06,0.072,0.018,0.099,0.83,100,"{""2014"": 0.114, ""2015"": 0.148, ""2016"": 0.137, ""2017"": 0.056, ""2018"": 0.043, ""2019"": 0.07, ""2020"": 0.059, ""2021"": 0.017, ""2022"": 0.023, ""2023"": 0.054, ""2024"": 0.009, ""2025"": 0.074, ""2026"": 0.05}","{""normal"": 0.067, ""weak"": 0.061}",PARTIAL_OVERLAP,,
inst_turn_60,volatility,0.053,0.044,0.088,-0.013,0.11,0.7,100,"{""2014"": 0.107, ""2015"": 0.157, ""2016"": -0.024, ""2017"": 0.044, ""2018"": 0.049, ""2019"": 0.06, ""2020"": 0.144, ""2021"": 0.013, ""2022"": 0.076, ""2023"": 0.031, ""2024"": -0.035, ""2025"": 0.026, ""2026"": -0.012}","{""normal"": 0.032, ""weak"": 0.114}",PARTIAL_OVERLAP,,
inst_turn_60,turnover_rate,0.096,0.092,0.125,0.007,0.176,0.77,100,"{""2014"": 0.113, ""2015"": 0.165, ""2016"": -0.033, ""2017"": 0.019, ""2018"": 0.101, ""2019"": 0.124, ""2020"": 0.217, ""2021"": 0.049, ""2022"": 0.099, ""2023"": 0.051, ""2024"": -0.004, ""2025"": 0.172, ""2026"": 0.112}","{""normal"": 0.077, ""weak"": 0.15}",PARTIAL_OVERLAP,,
foreign_turn_20,score,0.095,0.097,0.1,0.058,0.138,0.95,100,"{""2014"": 0.072, ""2015"": 0.089, ""2016"": 0.065, ""2017"": 0.114, ""2018"": 0.144, ""2019"": 0.115, ""2020"": 0.109, ""2021"": 0.082, ""2022"": 0.021, ""2023"": 0.099, ""2024"": 0.088, ""2025"": 0.108, ""2026"": 0.12}","{""normal"": 0.099, ""weak"": 0.082}",LOW_OBSERVED_OVERLAP,,
foreign_turn_20,rev_rank,0.067,0.063,0.076,0.03,0.107,0.87,100,"{""2014"": 0.068, ""2015"": 0.091, ""2016"": 0.058, ""2017"": 0.064, ""2018"": 0.094, ""2019"": 0.069, ""2020"": 0.079, ""2021"": 0.051, ""2022"": -0.002, ""2023"": 0.064, ""2024"": 0.053, ""2025"": 0.087, ""2026"": 0.083}","{""normal"": 0.066, ""weak"": 0.069}",LOW_OBSERVED_OVERLAP,,0.0035
foreign_turn_20,fp,0.031,0.038,0.082,-0.035,0.099,0.66,100,"{""2014"": 0.04, ""2015"": -0.007, ""2016"": 0.063, ""2017"": 0.083, ""2018"": 0.089, ""2019"": 0.002, ""2020"": -0.024, ""2021"": 0.028, ""2022"": -0.029, ""2023"": 0.004, ""2024"": 0.046, ""2025"": 0.049, ""2026"": 0.094}","{""normal"": 0.054, ""weak"": -0.034}",LOW_OBSERVED_OVERLAP,,0.0011
foreign_turn_20,chip,0.196,0.206,0.197,0.155,0.257,0.962,79,"{""2016"": -0.006, ""2017"": 0.29, ""2018"": 0.222, ""2019"": 0.252, ""2020"": 0.189, ""2021"": 0.15, ""2022"": 0.126, ""2023"": 0.199, ""2024"": 0.202, ""2025"": 0.156, ""2026"": 0.205}","{""normal"": 0.21, ""weak"": 0.151}",LOW_OBSERVED_OVERLAP,,0.0309
foreign_turn_20,tilt,0.142,0.176,0.162,0.07,0.219,0.84,100,"{""2014"": 0.04, ""2015"": -0.007, ""2016"": 0.062, ""2017"": 0.263, ""2018"": 0.219, ""2019"": 0.216, ""2020"": 0.149, ""2021"": 0.132, ""2022"": 0.085, ""2023"": 0.162, ""2024"": 0.18, ""2025"": 0.148, ""2026"": 0.207}","{""normal"": 0.169, ""weak"": 0.066}",LOW_OBSERVED_OVERLAP,,0.0193
foreign_turn_20,size,0.001,-0.01,0.085,-0.058,0.064,0.45,100,"{""2014"": 0.058, ""2015"": 0.034, ""2016"": 0.136, ""2017"": 0.112, ""2018"": 0.006, ""2019"": -0.034, ""2020"": -0.085, ""2021"": -0.045, ""2022"": -0.044, ""2023"": -0.012, ""2024"": -0.035, ""2025"": -0.03, ""2026"": 0.009}","{""normal"": 0.028, ""weak"": -0.074}",LOW_OBSERVED_OVERLAP,,
foreign_turn_20,liquidity,0.032,0.023,0.074,-0.034,0.095,0.63,100,"{""2014"": 0.079, ""2015"": 0.105, ""2016"": 0.12, ""2017"": 0.038, ""2018"": 0.017, ""2019"": 0.029, ""2020"": -0.017, ""2021"": -0.02, ""2022"": 0.007, ""2023"": 0.01, ""2024"": -0.019, ""2025"": 0.054, ""2026"": 0.033}","{""normal"": 0.031, ""weak"": 0.032}",LOW_OBSERVED_OVERLAP,,
foreign_turn_20,volatility,0.021,0.013,0.101,-0.058,0.101,0.56,100,"{""2014"": 0.022, ""2015"": 0.107, ""2016"": -0.016, ""2017"": -0.062, ""2018"": -0.007, ""2019"": 0.017, ""2020"": 0.099, ""2021"": 0.016, ""2022"": 0.066, ""2023"": 0.027, ""2024"": -0.021, ""2025"": 0.017, ""2026"": -0.028}","{""normal"": -0.011, ""weak"": 0.113}",LOW_OBSERVED_OVERLAP,,
foreign_turn_20,turnover_rate,0.054,0.049,0.135,-0.053,0.164,0.62,100,"{""2014"": 0.037, ""2015"": 0.123, ""2016"": 0.014, ""2017"": -0.041, ""2018"": 0.035, ""2019"": 0.08, ""2020"": 0.11, ""2021"": -0.002, ""2022"": 0.075, ""2023"": 0.052, ""2024"": 0.025, ""2025"": 0.116, ""2026"": 0.044}","{""normal"": 0.022, ""weak"": 0.147}",LOW_OBSERVED_OVERLAP,,
trust_turn_20,score,0.042,0.039,0.046,0.02,0.066,0.92,100,"{""2014"": 0.056, ""2015"": 0.056, ""2016"": 0.038, ""2017"": 0.051, ""2018"": 0.062, ""2019"": 0.031, ""2020"": 0.022, ""2021"": 0.04, ""2022"": 0.049, ""2023"": 0.025, ""2024"": 0.047, ""2025"": 0.042, ""2026"": 0.03}","{""normal"": 0.041, ""weak"": 0.048}",LOW_OBSERVED_OVERLAP,,
trust_turn_20,rev_rank,0.029,0.024,0.039,0.004,0.05,0.79,100,"{""2014"": 0.062, ""2015"": 0.061, ""2016"": 0.044, ""2017"": 0.043, ""2018"": 0.044, ""2019"": 0.017, ""2020"": 0.0, ""2021"": 0.019, ""2022"": 0.028, ""2023"": 0.002, ""2024"": 0.021, ""2025"": 0.026, ""2026"": 0.02}","{""normal"": 0.027, ""weak"": 0.036}",LOW_OBSERVED_OVERLAP,,0.0005
trust_turn_20,fp,-0.026,-0.032,0.051,-0.059,0.016,0.68,100,"{""2014"": -0.05, ""2015"": -0.046, ""2016"": -0.043, ""2017"": -0.05, ""2018"": -0.036, ""2019"": -0.05, ""2020"": -0.041, ""2021"": 0.015, ""2022"": 0.019, ""2023"": -0.001, ""2024"": -0.006, ""2025"": -0.014, ""2026"": -0.054}","{""normal"": -0.028, ""weak"": -0.021}",LOW_OBSERVED_OVERLAP,,0.0011
